Field Output reported for whole element for region: COMPOSITE-1.Region_2

   Element Label            EVOL
                          @Loc 1
---------------------------------
           46163     10.9865E-03
           46164     11.8279E-03
           46165     16.4496E-03
           46166     10.8642E-03
           46167     14.8178E-03
           46168     18.6605E-03
           46169     19.4098E-03
           46170     18.6049E-03
           46171     9.58015E-03
           46172     26.6714E-03
           46173     12.8940E-03
           46174     11.5136E-03
           46175     17.8722E-03
           46176     13.9258E-03
           46177     14.8737E-03
           46178     8.70424E-03
           46179     11.9036E-03
           46180     9.64340E-03
           46181     13.3524E-03
           46182     14.8939E-03
           46183     11.7033E-03
           46184     18.0433E-03
           46185     14.2181E-03
           46186     14.2071E-03
           46187     13.8724E-03
           46188     17.8448E-03
           46189     11.2295E-03
           46190     12.5109E-03
           46191     21.6830E-03
           46192     12.7724E-03
           46193     21.3404E-03
           46194     13.3532E-03
           46195     18.2809E-03
           46196     12.4588E-03
           46197     14.4409E-03
           46198     14.3689E-03
           46199     10.8435E-03
           46200     15.9333E-03
           46201     19.6133E-03
           46202     14.6177E-03
           46203     7.59376E-03
           46204     14.6604E-03
           46205     18.1908E-03
           46206     15.0283E-03
           46207     20.4541E-03
           46208     17.1386E-03
           46209     19.9627E-03
           46210     18.8941E-03
           46211     24.2875E-03
           46212     28.1417E-03
           46213     12.9177E-03
           46214     6.69238E-03
           46215     4.97177E-03
           46216     14.3297E-03
           46217     15.3254E-03
           46218     13.0657E-03
           46219     7.50158E-03
           46220     17.6021E-03
           46221     10.6008E-03
           46222     13.2484E-03
           46223     13.8381E-03
           46224     20.5610E-03
           46225     9.68783E-03
           46226     19.8565E-03
           46227     13.5399E-03
           46228     10.6923E-03
           46229     9.78989E-03
           46230     12.0484E-03
           46231     12.7007E-03
           46232     16.1459E-03
           46233     12.6184E-03
           46234     14.4090E-03
           46235     9.51012E-03
           46236     15.9679E-03
           46237     23.7402E-03
           46238     10.9480E-03
           46239     13.2742E-03
           46240     14.8370E-03
           46241     13.4953E-03
           46242     13.4523E-03
           46243     15.2388E-03
           46244     13.7229E-03
           46245     14.0019E-03
           46246     17.2948E-03
           46247     12.6865E-03
           46248     13.4845E-03
           46249     12.1707E-03
           46250     20.9830E-03
           46251     13.1570E-03
           46252     9.19169E-03
           46253     15.9280E-03
           46254     14.1720E-03
           46255     16.9294E-03
           46256     19.6351E-03
           46257     20.5987E-03
           46258     12.7253E-03
           46259     17.6172E-03
           46260     2.02844E-03
           46261     19.9905E-03
           46262     9.34475E-03
           46263     24.2594E-03
           46264     10.5500E-03
           46265     12.6107E-03
           46266     821.166E-06
           46267     12.2420E-03
           46268     23.0868E-03
           46269     16.9745E-03
           46270     14.8219E-03
           46271     14.5491E-03
           46272     12.6827E-03
           46273     20.3875E-03
           46274     19.2270E-03
           46275     19.4487E-03
           46276     17.4442E-03
           46277     16.7936E-03
           46278     16.6587E-03
           46279     22.7450E-03
           46280     2.33587E-03
           46281     14.8039E-03
           46282     11.6351E-03
           46283     14.8310E-03
           46284     9.56498E-03
           46285     11.4334E-03
           46286     18.5044E-03
           46287     14.1069E-03
           46288     16.3644E-03
           46289     13.2577E-03
           46290     10.2137E-03
           46291     20.2703E-03
           46292     15.9219E-03
           46293     16.0660E-03
           46294     17.3889E-03
           46295     13.1230E-03
           46296     21.5733E-03
           46297     13.4276E-03
           46298     10.3615E-03
           46299     14.6959E-03
           46300     738.160E-06
           46301     1.59612E-03
           46302     2.14920E-03
           46303     13.5860E-03
           46304     7.91419E-03
           46305     28.8254E-03
           46306     22.1377E-03
           46307     23.8307E-03
           46308     12.8906E-03
           46309     13.3304E-03
           46310     12.4434E-03
           46311     15.9483E-03
           46312     17.5621E-03
           46313     13.3014E-03
           46314     15.7092E-03
           46315     900.555E-06
           46316     23.2333E-03
           46317     17.3199E-03
           46318     20.1332E-03
           46319     22.5789E-03
           46320     8.14498E-03
           46321     14.2768E-03
           46322     10.9622E-03
           46323     25.1280E-03
           46324     21.3099E-03
           46325     12.9796E-03
           46326     13.5667E-03
           46327     19.1728E-03
           46328     7.91419E-03
           46329     18.1509E-03
           46330     15.2294E-03
           46331     9.38057E-03
           46332     11.8014E-03
           46333     10.2515E-03
           46334     15.2643E-03
           46335     6.05532E-03
           46336     7.93046E-03
           46337     7.59131E-03
           46338     9.89886E-03
           46339     9.80989E-03
           46340     16.0220E-03
           46341     17.7657E-03
           46342     4.50447E-03
           46343     18.2486E-03
           46344     11.2729E-03
           46345     21.4127E-03
           46346     17.5488E-03
           46347     22.0881E-03
           46348     12.7353E-03
           46349     22.3009E-03
           46350     2.09152E-03
           46351     10.7154E-03
           46352     3.69282E-03
           46353     12.3148E-03
           46354     14.0092E-03
           46355     18.3527E-03
           46356     19.7684E-03
           46357     28.6683E-03
           46358     12.9970E-03
           46359     17.8487E-03
           46360     11.3762E-03
           46361     24.4139E-03
           46362     18.5274E-03
           46363     13.2256E-03
           46364     12.3725E-03
           46365     39.2562E-03
           46366     37.5602E-03
           46367     28.9624E-03
           46368     21.2496E-03
           46369     14.1989E-03
           46370     5.39307E-03
           46371     2.44182E-03
           46372     6.17186E-03
           46373     2.39131E-03
           46374     6.76455E-03
           46375     12.0300E-03
           46376     22.8159E-03
           46377     32.1278E-03
           46378     6.90006E-03
           46379     7.93561E-03
           46380     11.0627E-03
           46381     8.33684E-03
           46382     14.9907E-03
           46383     20.7636E-03
           46384     14.5396E-03
           46385     15.4197E-03
           46386     18.4188E-03
           46387     9.30154E-03
           46388     13.9505E-03
           46389     11.7209E-03
           46390     10.3205E-03
           46391     6.51231E-03
           46392     10.5966E-03
           46393     18.1989E-03
           46394     6.38947E-03
           46395     11.2165E-03
           46396     11.4144E-03
           46397     1.04788E-03
           46398     10.5160E-03
           46399     28.1225E-03
           46400     15.9347E-03
           46401     12.0998E-03
           46402     16.8415E-03
           46403     12.2261E-03
           46404     14.8901E-03
           46405     17.0533E-03
           46406     11.6278E-03
           46407     13.3538E-03
           46408     16.4854E-03
